Species,REP,WPtlp(-MPa),osmotic_potential(-MPa),E(MPa),RWCtlp (%),site,treatment
Correa glabra,1,2.08,1.77,11.62,0.86,The University of Melbourne Burnley campus,water deficit
Correa glabra,2,2.31,1.87,10.76,0.82,The University of Melbourne Burnley campus,water deficit
Correa glabra,3,2.05,1.77,12.94,0.87,The University of Melbourne Burnley campus,water deficit
Correa glabra,4,2.28,1.93,11.95,0.85,The University of Melbourne Burnley campus,water deficit
Correa glabra,5,2.25,1.91,12.91,0.86,The University of Melbourne Burnley campus,water deficit
Cheiranthera linearis,1,2.48,2.05,12.40,0.87,The University of Melbourne Burnley campus,water deficit
Cheiranthera linearis,2,1.94,1.54,7.31,0.83,The University of Melbourne Burnley campus,water deficit
Cheiranthera linearis,3,2.15,1.69,7.70,0.83,The University of Melbourne Burnley campus,water deficit
Cheiranthera linearis,4,1.68,1.37,7.74,0.82,The University of Melbourne Burnley campus,water deficit
Cheiranthera linearis,5,2.24,1.52,4.46,0.73,The University of Melbourne Burnley campus,water deficit
Calytrix tetragona,1,1.47,1.27,9.64,0.90,The University of Melbourne Burnley campus,water deficit
Calytrix tetragona,2,1.41,1.24,10.13,0.92,The University of Melbourne Burnley campus,water deficit
Calytrix tetragona,3,1.27,1.12,9.35,0.90,The University of Melbourne Burnley campus,water deficit
Calytrix tetragona,4,1.60,1.45,16.97,0.91,The University of Melbourne Burnley campus,water deficit
Derwentia derwentiana,1,2.17,1.85,13.80,0.86,The University of Melbourne Burnley campus,water deficit
Derwentia derwentiana,2,2.63,2.26,16.29,0.87,The University of Melbourne Burnley campus,water deficit
Derwentia derwentiana,3,2.06,1.71,9.48,0.84,The University of Melbourne Burnley campus,water deficit
Derwentia perfoliata,1,1.88,1.66,17.00,0.89,The University of Melbourne Burnley campus,water deficit
Derwentia perfoliata,2,1.77,1.57,16.39,0.91,The University of Melbourne Burnley campus,water deficit
Derwentia perfoliata,3,1.80,1.56,11.89,0.87,The University of Melbourne Burnley campus,water deficit
Derwentia perfoliata,4,2.01,1.69,15.06,0.86,The University of Melbourne Burnley campus,water deficit
Derwentia perfoliata,5,2.21,1.59,4.89,0.74,The University of Melbourne Burnley campus,water deficit
Dillwynia sericea,1,2.17,1.80,10.09,0.86,The University of Melbourne Burnley campus,water deficit
Dillwynia sericea,2,1.77,1.47,14.20,0.85,The University of Melbourne Burnley campus,water deficit
Dillwynia sericea,3,2.39,2.10,29.08,0.89,The University of Melbourne Burnley campus,water deficit
Dodonaea stenozyga,1,2.05,1.82,17.45,0.90,The University of Melbourne Burnley campus,water deficit
Dodonaea stenozyga,2,2.13,1.88,20.71,0.89,The University of Melbourne Burnley campus,water deficit
Dodonaea stenozyga,3,2.10,1.88,18.01,0.91,The University of Melbourne Burnley campus,water deficit
Dodonaea stenozyga,4,2.54,1.80,5.90,0.77,The University of Melbourne Burnley campus,water deficit
Daviesia ulicifolia,1,2.13,1.80,13.95,0.88,The University of Melbourne Burnley campus,water deficit
Daviesia ulicifolia,2,3.00,1.89,4.76,0.67,The University of Melbourne Burnley campus,water deficit
Daviesia ulicifolia,3,2.81,2.24,10.97,0.83,The University of Melbourne Burnley campus,water deficit
Daviesia ulicifolia,4,2.84,2.20,9.39,0.79,The University of Melbourne Burnley campus,water deficit
Eremophila divaricata,1,2.42,1.91,11.79,0.81,The University of Melbourne Burnley campus,water deficit
Eremophila divaricata,2,1.53,1.36,12.59,0.89,The University of Melbourne Burnley campus,water deficit
Eremophila divaricata,3,2.13,1.52,5.35,0.78,The University of Melbourne Burnley campus,water deficit
Eremophila divaricata,4,2.12,1.80,11.71,0.85,The University of Melbourne Burnley campus,water deficit
Eremophila divaricata,5,2.26,1.75,10.36,0.78,The University of Melbourne Burnley campus,water deficit
Eremophila gibbifolia,1,2.23,1.67,6.51,0.80,The University of Melbourne Burnley campus,water deficit
Eremophila gibbifolia,2,2.23,1.67,6.51,0.80,The University of Melbourne Burnley campus,water deficit
Eutaxia microphylla,1,2.42,2.15,19.65,0.90,The University of Melbourne Burnley campus,water deficit
Eutaxia microphylla,2,2.96,2.46,14.82,0.85,The University of Melbourne Burnley campus,water deficit
Eremophila polyclada,1,1.72,1.50,13.15,0.91,The University of Melbourne Burnley campus,water deficit
Eremophila polyclada,2,1.87,1.59,11.69,0.89,The University of Melbourne Burnley campus,water deficit
Eremophila polyclada,3,1.81,1.55,10.79,0.90,The University of Melbourne Burnley campus,water deficit
Eremophila polyclada,4,1.79,1.54,14.00,0.86,The University of Melbourne Burnley campus,water deficit
Eremophila polyclada,5,1.78,1.53,14.22,0.89,The University of Melbourne Burnley campus,water deficit
Grevillea alpina,1,2.29,1.71,6.47,0.77,The University of Melbourne Burnley campus,water deficit
Grevillea alpina,2,2.47,2.01,11.25,0.84,The University of Melbourne Burnley campus,water deficit
Goodenia benthamiana,1,2.09,1.78,13.06,0.91,The University of Melbourne Burnley campus,water deficit
Goodenia benthamiana,2,1.95,1.73,14.84,0.90,The University of Melbourne Burnley campus,water deficit
Goodenia benthamiana,3,2.29,1.93,18.02,0.89,The University of Melbourne Burnley campus,water deficit
Grevillea rosmarinifolia,1,2.22,1.83,10.77,0.89,The University of Melbourne Burnley campus,water deficit
Grevillea rosmarinifolia,2,2.11,1.84,17.02,0.90,The University of Melbourne Burnley campus,water deficit
Grevillea rosmarinifolia,3,2.36,1.94,11.04,0.86,The University of Melbourne Burnley campus,water deficit
Hardenbergia violacea,1,1.59,1.47,21.48,0.93,The University of Melbourne Burnley campus,water deficit
Hardenbergia violacea,2,2.26,2.03,20.99,0.91,The University of Melbourne Burnley campus,water deficit
Hardenbergia violacea,3,1.88,1.74,23.57,0.93,The University of Melbourne Burnley campus,water deficit
Hardenbergia violacea,4,1.71,1.54,21.62,0.91,The University of Melbourne Burnley campus,water deficit
Hardenbergia violacea,5,2.08,1.80,14.17,0.88,The University of Melbourne Burnley campus,water deficit
Indigofera australis,1,1.58,1.41,13.23,0.91,The University of Melbourne Burnley campus,water deficit
Indigofera australis,2,1.67,1.47,13.03,0.88,The University of Melbourne Burnley campus,water deficit
Indigofera australis,3,1.57,1.38,11.76,0.90,The University of Melbourne Burnley campus,water deficit
Indigofera australis,4,1.73,1.51,12.07,0.88,The University of Melbourne Burnley campus,water deficit
Olearia axillaris,1,1.72,1.25,4.45,0.76,The University of Melbourne Burnley campus,water deficit
Olearia axillaris,2,1.67,1.09,3.01,0.73,The University of Melbourne Burnley campus,water deficit
Olearia axillaris,3,2.12,1.32,3.20,0.73,The University of Melbourne Burnley campus,water deficit
Olearia axillaris,4,1.96,1.43,5.01,0.79,The University of Melbourne Burnley campus,water deficit
Olearia axillaris,5,1.76,1.27,4.39,0.77,The University of Melbourne Burnley campus,water deficit
Prostanthera aspalathoides,1,1.82,1.08,2.51,0.62,The University of Melbourne Burnley campus,water deficit
Prostanthera aspalathoides,2,1.80,1.04,2.31,0.58,The University of Melbourne Burnley campus,water deficit
Prostanthera aspalathoides,3,1.85,1.28,4.08,0.73,The University of Melbourne Burnley campus,water deficit
Prostanthera aspalathoides,4,1.64,1.21,4.55,0.75,The University of Melbourne Burnley campus,water deficit
Prostanthera aspalathoides,5,1.93,1.30,3.83,0.69,The University of Melbourne Burnley campus,water deficit
Prostanthera incisa,1,1.65,1.24,4.85,0.77,The University of Melbourne Burnley campus,water deficit
Prostanthera incisa,2,1.64,1.29,6.23,0.81,The University of Melbourne Burnley campus,water deficit
Prostanthera incisa,3,1.81,1.33,5.16,0.79,The University of Melbourne Burnley campus,water deficit
Prostanthera incisa,4,1.98,1.38,4.24,0.74,The University of Melbourne Burnley campus,water deficit
Prostanthera incisa,5,1.67,1.29,5.33,0.77,The University of Melbourne Burnley campus,water deficit
