Species,Temp,CO2,Potnum,Replicate,AirSpace (%),Pali (%),Pali2Air,EpiT (um),LaminaT (um),PaliCellL (um),PaliCellW (um),PaliLayNum,EpiDen (mm-2),StomDen (mm-2),SI (%),LeafpercentN (%),LeafNarea (g m-2),LeafpercentC (%),LSolSugA (g m-2),LStarchA (g m-2),LSolProA (g m-2),LInsolProA (g m-2),ChlAandB (umol m-2),ChlAB,percentCellWall (%),LMA (g m-2),Density (g cm-3),Photo_Amax_umol_per_m2_s,gs_at_Amax_mol_per_m2_s,ci_at_Amax_umol_per_mol,transpiration_at_A_max_mmol_per_m2_s,Photo_Asat_umol_per_m2_s,gs_at_Asat_mol_per_m2_s,ci_at_Asat_umol_per_mol,transpiration_at_A_sat_mmol_per_m2_s,context
Eucalyptus sideroxylon,Amb,280,252,1,24.19578887833333,75.80421112166667,3.567484874333333,18.373264444444445,249.109176,34.4541162,7.55953208,5,2004.3859648333334,439.69298246666665,17.986798183333335,2.24,2.8,54.49,9.6,4,8.95,6.83,724.03,2.56,32.47,124.91,0.5,32.32,0.3039,978.1,3.333,16.23,0.3003,173.2,3.879,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,252,2,23.786925786666668,76.21307421333333,3.2326292836666664,19.031289,251.12420833333334,33.88933725,8.504494,5.2,2048.245614,337.71929825,14.158424056666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,264,1,21.355929742,78.644070258,3.778480235,15.939079,269.42595416666666,38.9483932,9.20986092,5.2,1746.7105263333333,378.2894736833333,17.798233978333332,2.14,2.79,54.46,10.37,5.11,9.97,15.57,572.1,2.38,29.82,130.69,0.49,31.84,0.1895,866.7,3.39,15.139999999999999,0.398,197.9,6.107,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,264,2,21.595195336,78.404804664,4.2537036702,15.305254,262.099948,38.2565976,8.69625834,5.8,1610.745614,336.6228070166667,17.218247560000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,265,1,25.102313752,74.897686248,3.0374088908,15.591569,239.255164,36.1749694,9.13086854,5.6,1615.1315789999999,255.48245615,13.614566593333333,2.25,2.54,54.98,6.01,9.01,7.89,15.06,791.97,0.17,30.09,112.95,0.48,31.89,0.10025,629.4,1.52,11.99,0.2491,183.2,2.6670000000000003,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,265,2,30.517340918,69.482659082,2.6315994628,15.943824,227.618032,37.0341992,9.65772504,5.6,1994.517544,330.04385965,14.135978891666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,273,1,30.84104859,69.15895141,2.5819826318,16.819054,244.79146,33.4102966,9.448144,5.2,1624.9999998333333,315.78947368333337,16.269523983333332,2.01,2.34,54.87,13.45,7.13,8.31,1.98,547.72,2.57,26.42,116.33,0.47,26.95,0.1322,815.8,2.664,11.2,0.21559999999999999,180,3.415,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,273,2,34.139549122,65.86045087800001,2.0247906824,17.428155,248.660668,34.8061132,8.8622171,5.6,1939.6929823333335,396.9298245666667,16.919358161666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,295,1,31.75776772,68.24223228,2.5660740844,17.979673000000002,226.410808,35.79373,8.82290972,5,1664.4736841666668,257.6754386,13.348071366666666,1.83,2.17,55.57,8.36,4.67,3.99,10.11,413.49,2.46,29.9,118.8,0.52,31.87,0.09925,637.6,1.4609999999999999,11.6,0.1462,139.2,1.95,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,280,295,2,39.028377684,60.971622316,1.5729772002,18.695981,229.84312,33.4090124,9.05404238,5,1759.8684211666666,376.0964912333333,17.55796814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Amb,400,165,1,20.872331638,79.127668362,4.5360345980000005,18.251446,268.12391,38.0948908,8.90592744,5.6,1407.8947366666666,278.50877191666666,16.481191613333333,1.39,2.12,55.34,22.59,7.6,8.28,8.22,446.46,2.43,25.13,152.38,0.55,25.46,0.17679999999999998,917.6,2.3209999999999997,15.93,0.33240000000000003,297.5,4.468,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,165,2,22.940837295999998,77.059162704,3.7259518586000002,17.63895875,285.329565,36.9287486,8.864630739999999,5.8,1508.7719298333334,236.84210526666666,13.548865636666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,168,1,19.191619898,80.808380102,4.4010213874,17.928521,239.32102,32.9985198,8.69283888,5.6,1350.8771931666668,246.71052633333332,15.37327,1.44,1.86,56.06,8.47,7.06,7.42,6.78,414.17,2.62,29.96,129.23,0.56,26.89,0.1603,880.2,2.351,15.38,0.1793,240.5,2.577,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,168,2,34.826347414,65.173652586,2.0066265022,17.747109000000002,234.791968,33.3866886,8.46945246,5.4,1356.3596493333334,269.7368421,16.5701942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,172,1,31.836107114,68.163892886,2.176607614,18.086893,236.510092,38.4098166,10.35318624,5,1527.4122806666667,232.45614036666666,13.179156863333333,1.21,1.77,56.76,15.96,7.67,3.71,12.46,443.51,2.29,27.62,146.71,0.63,18.27,0.05231,591.7,1.128,12.81,0.1596,252.9,2.173,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,172,2,26.223395696,73.776604304,3.004741287,17.673681,233.618525,36.2832444,10.1003797,5.2,1187.5,237.93859648333333,16.695582033333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,176,1,34.586206444,65.413793556,1.9657454816,16.108344,236.528492,33.0256326,8.71437566,5.6,1531.7982456666666,192.98245613333333,11.206893881666666,2.03,2.24,54.55,11.66,6.55,5.78,13.14,440.71,2.3,32.29,110.45,0.44,27.63,0.1088,746.9,1.794,15.01,0.1721,241,2.578,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,176,2,27.212732314,72.787267686,2.7975045216,16.447519,262.38297916666664,33.1616688,9.02943328,5.8,1423.245614,226.97368423333333,13.736439866666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,194,1,25.801582788,74.198417212,2.9527862178,18.275782,294.285464,35.9777384,9.44920634,6,1158.991228,241.22807016666667,17.21068856666667,0.97,1.71,54.52,10.05,9.92,1.78,1.45,343.61,2.43,34.15,176.89,0.63,23.6,0.13770000000000002,872.2,2.045,16.9,0.2351111111111111,256.3333333333333,3.4844444444444447,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,400,194,2,15.05167973,84.94832027,5.7936515756,17.711492,268.638196,36.7033596,9.20895942,5.4,1535.0877193333333,205.04385963333334,11.832789025833334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Amb,640,51,1,23.584939812,76.415060188,3.3419816974,16.794311999999998,252.0551,37.14489825,9.493890575,6,1857.4561403333332,314.69298245,14.425135106666666,0.91,1.65,55.08,21.99,14.98,5.91,0.91,337.32,2.22,32.2,181.7,0.69,21.67,0.07886,714.1,1.114,16.91,0.1055,353.3,1.3490000000000002,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,51,2,16.523628496,83.476371504,5.482151071,17.354073,274.221752,40.3887854,10.469258720000001,6,1649.122807,304.8245614,15.471622666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,52,1,14.161159787799999,85.838840212,7.180961179,21.318128,304.749648,40.2701078,11.1180854,6,1377.1929826666667,283.9912280666667,17.014815415,0.84,1.59,55.48,26.5,15.49,1.63,8.04,266.94,1.92,27.19,188.21,0.63,18.23,0.1036,864.5,1.475,14.17,0.1018,383.9,1.173,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,52,2,19.359702264,80.64029773600001,4.4397501876,21.480922,308.345764,32.8497196,10.332832419999999,5.8,1956.1403506666668,288.3771929833333,12.838029013333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,56,1,18.024350690000002,81.97564931,4.607035054,14.249507,261.535796,37.431522199999996,9.47075616326,5.8,1052.6315789166667,194.07894738333331,15.363890896666668,1.38,2.44,53.51,13.98,29.46,5.49,7.73,520.17,2.57,34.76,176.36,0.7,25.7,0.1323,834.2,2.514,20.67,0.1455,380.4,2.399,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,56,2,20.787116164,79.212883836,3.9217994444,14.843323999999999,248.6011,39.2978686,9.63471442,6,1334.4298245,283.9912280666667,17.56624773833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,57,1,29.651508082,70.348491918,2.379939553,15.828664,270.347864,38.3873442,9.21757572,5.8,1229.1666665,259.86842105,17.485123431666665,1.27,2.15,55.48,16,15.69,3.11,4.27,355.38,2.4,32.24,169.89,0.64,22.3,0.1212,854.9,2.224,16.19,0.143,426.7,2.489,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,57,2,28.112104122,71.887895878,3.0133513436,16.796324,280.606784,36.17986975,9.212605850000001,6,1121.7105264666666,209.42982455,15.578098109999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,84,1,21.90031979,78.09968021,3.9251476384,14.813309,221.721336,31.0191808,8.7767181,6,1446.2719299999999,298.24561401666665,17.034814046666668,1.44,2.7,55.35,20.84,10.84,4.45,10.2,557.76,2.93,32.76,187.39,0.85,26.75,0.117,773.3,1.85,22.07,0.119,300.9,2.109,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Amb,640,84,2,16.382199522,83.61780047799999,5.3695421802,14.468854,217.503548,32.3630002,8.3332833,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amb_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,280,355,1,47.998541972,52.001458028,1.0921869936,15.02759,235.492036,31.569163200000002,8.09962918,5.2,1762.0614034999999,362.9385965,17.057409376666666,2.56,3.12,54.66,14.6,3.5,3.17,10.57,836.27,2.58,34.39,121.85,0.5,40.11,0.08063000000000001,351.2,1.5430000000000001,17.21,0.3371,178.3,7.007,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,355,2,40.662186456,59.337813544,1.5268493886,16.275001,254.022276,31.6234826,8.62561524,5.2,1578.9473686666665,328.9473684166667,17.23794949166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,360,1,29.22555473,70.77444527,2.5773107242,14.427047,249.848092,30.382698,9.90341962,5.4,1690.7894735,338.8157894666667,16.692677595,1.91,2.37,55.26,11.08,3.19,4.54,10.66,710.16,2.44,27.02,124.19,0.5,31.4,0.28509999999999996,968.2,4.41,12.82,0.257,182.7,4.179,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,360,2,33.040788972,66.959211028,2.0390675498,14.221117,250.409548,30.319218,8.92132198,5.4,2230.2631579999997,460.5263157833333,17.011992128333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,370,1,21.733539642,78.266460358,3.7813881566,13.503447,231.361756,33.4255878,9.9101344,5.2,1502.1929823333332,321.27192981666667,17.597893928333335,1.83,2.49,54.87,6.89,4.75,5.37,14.28,574.76,2.28,31.26,136.12,0.57,32.02,0.2534,934.2,4.627,15.629999999999999,0.35069999999999996,188.5,5.117,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,370,2,32.658766392,67.341233608,2.1465254946,14.606752,246.456388,36.7275288,9.9153702,5.2,1475.8771928333333,366.22807018333333,19.794144265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,373,1,36.21320202333334,63.78679797666666,1.8095701936666666,16.224753,216.510868,NA,NA,5,1776.3157896666667,400.21929823333335,18.318879138333333,2.6,2.17,55.02,8.2,3.02,7.51,12.83,649.32,2.35,29.02,110.73,0.5,29.855,0.055115,273.3,1.5055,11.5815,0.1612,141.85,4.2335,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,373,2,37.739780135000004,62.260219864999996,1.6513505375,16.744248,224.50976,31.79514,8.69380028,5.6,2145.8333333333335,417.76315788333335,16.184192343333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,386,1,31.194866823999998,68.805133176,2.2494625538,13.554498,193.309744,27.7137118,8.47040446,5.8,1433.1140351666668,344.29824560000003,19.321663758333333,3.36,4.12,52.5,3.8,0.94,6.68,10.64,697.53,2.38,32.29,83.37,0.41,30.99,0.07493,484.6,1.382,21.83,0.9047000000000001,215.7,9.197,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,280,386,2,24.725647384,75.274352616,3.247734598,14.913772,209.19812,27.7793838,8.31369872,5.8,1828.9473685,433.1140351,18.934834085000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_280_ppm_CO2
Eucalyptus sideroxylon,Elv,400,467,1,34.019317858,65.980682142,2.2627028892,17.63999,235.191292,33.6183456,10.26551576,5.6,1587.7192981666667,304.82456141666665,15.955721511666667,1.25,1.63,55.79,17.51,5.75,6.04,5.37,403.1,2.19,33.02,110.68,0.48,22.425,0.066385,580.2,1.5499999999999998,13.645,0.1576,227.3,4.2749999999999995,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,467,2,31.029222226,68.970777774,2.3342256388,18.114249,230.7436,34.2998086,10.611243439999999,5.4,1506.5789473333334,347.58771931666666,18.568947899999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,470,1,34.467048548,65.532951452,2.0955640214,23.096292,287.530092,34.9672032,9.83692074,6,1171.0526316666667,186.40350876666668,13.710635893333333,0.98,1.37,57.14,18.78,4.82,4.42,6.56,474.25,2.18,26.62,130.24,0.45,21.32,0.16770000000000002,947.5,2.296,16.259999999999998,0.2165,253.8,3.686,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,470,2,25.289231174,74.710768826,3.172101648,20.505338,294.804552,35.5444682,10.43956998,6,1349.7807018333333,264.25438598333335,16.197425708333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,471,1,29.643332306,70.356667694,2.4059560504,18.910685,242.703812,34.0380742,10.1307396,5.6,1133.7719298333334,184.2105263,13.935464818333333,1.21,1.34,56.08,11.4,5.25,2.65,6.29,297.93,1.9,25.85,139.2,0.58,24.36,0.14429999999999998,880,2.043,12.84,0.1085,189,1.915,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,471,2,22.664002294,77.335997706,3.6456749356000002,18.599424,236.552064,33.9893596,10.17858642,5.8,1744.5175436666666,323.4649122833333,15.625253924999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,482,1,27.373504178,72.626495822,2.8269510974,17.565495,224.12536,32.9672578,8.60604916,5.4,1585.5263158333332,343.2017543833333,17.677320053333332,2.24,2.48,54.91,17.98,4.03,5.43,6.76,671.93,2.55,32.85,110.81,0.49,26.1,0.08631,654,1.56,17.13,0.264,263,4.302,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,482,2,29.07589837,70.92410163000001,2.519005071,17.530873,228.73482,30.8716886,8.5571498,5.4,1172.1491228333334,205.04385965,14.803299208333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,494,1,20.462208828,79.537791172,3.9180326632,16.029725,188.351208,29.5846424,8.4992568,5.6,1232.4561403333335,236.84210525,15.857385041666667,2.29,2.74,54.87,11.98,3.09,6.67,5.34,659.45,2.39,34.1,119.75,0.63,37.82,0.09989,528.4,1.82,18.8,0.1996,218.5,4.0489999999999995,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,400,494,2,22.31813734,77.68186266,3.6085847824,17.06366875,189.967868,28.519543,7.94355532,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_400_ppm_CO2
Eucalyptus sideroxylon,Elv,640,554,1,29.248582268,70.75141773200001,2.5029882646,18.104048,250.06776,36.6159994,9.51864532,5.6,1481.3596493333334,320.1754386,17.69068252,1.13,1.54,55.07,20.59,7.83,5.22,1.61,531.95,2.45,29.08,136.84,0.54,24.1,0.10153,760,2.1435,22.330000000000002,0.13705,334.05,3.7159999999999997,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,554,2,35.495244262,64.504755738,1.900157504,18.394763,252.172856,35.3138798,9.88822172,5.8,1309.2105261666666,247.80701753333332,15.824195594999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,558,1,31.461440132,68.53855986800001,2.2227548014,16.905898999999998,260.163868,31.7142182,9.086921145833333,5.8,1565.7894736666667,275.21929825,14.920367053333333,1.07,2.04,56.94,19.72,5.47,4.06,3.53,590.6,2.47,27.75,190.68,0.72,24.04,0.12840000000000001,846.3,1.814,24.57,0.234,425.7,3.95,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,558,2,29.144694698000002,70.855305302,2.4655876814,17.288031,266.456784,33.2809112,9.3570593,6,1506.5789473333334,214.91228071666666,12.451795848333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,561,1,20.265746692,79.734253308,4.0970203168,15.981580000000001,267.065444,33.1210936,9.3002477,6,1575.6578946666666,342.10526315,17.887218531666665,1.43,2.07,55.26,21.37,6.85,5.07,5.8,572.22,2.32,25.56,144.76,0.52,27.04,0.1391,831.4,2.573,24.21,0.185,391.1,3.653,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,561,2,23.916377438,76.083622562,3.6038142932,16.770009,286.614328,35.0693256,9.92918412,6,1375,217.10526316666667,13.577799828333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,590,1,27.926524822,72.073475178,2.7027605564,17.856889,297.506304,34.2901728,9.35137794,6,1478.0701753333333,184.2105263,11.144055340166666,1.59,2.47,56.19,16.5,5.32,4.71,4.24,607.42,2.23,19.81,155.12,0.52,25.82,0.09417,708.3,1.468,21.03,0.1293,338.4,2.774,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,590,2,26.5660021125,73.4339978875,2.7688990635,18.200513,302.991796,35.4480224,9.23610978,6,1435.3070175,178.72807016666667,11.0581872435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,597,1,11.7175331224,88.282466876,8.3960978256,17.934587,227.859316,29.4863492,9.027674900000001,6.2,1172.14912275,220.39473685,15.78879003,1.54,2.04,54.75,11.49,6.67,4.74,5.13,523.71,2.34,34.34,132.24,0.58,29.86,0.1571,838.9,2.4050000000000002,28.22,0.1965,367.3,3.596,Elv_temperature_and_640_ppm_CO2
Eucalyptus sideroxylon,Elv,640,597,2,17.527196856,82.472803144,4.999774474600001,17.07202,228.534936,29.3556162,9.17200014,6,1569.0789473333334,289.47368421666664,15.522951028333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elv_temperature_and_640_ppm_CO2
